Key,Value,Type
! (state.exchange || state.payment),1,Extra gas consumption
! assertion,2,Extra gas consumption
! confirm(_r) && m_txs[_r].to == 0,1,Extra gas consumption
! owner.send(msg.value),1,Extra gas consumption
! ownerValidator.validate(msg.sender),66,Extra gas consumption
! voted[voter],2,Extra gas consumption
((lucky_number % 99) % 9) % 3 == 1,1,Extra gas consumption
((n * (n + 1)) / 2) ** 2,1,Extra gas consumption
(i < endIndex && i < addressOfBountyMembers.length),14,Extra gas consumption
(i),2,Extra gas consumption
(length > 0),1,Extra gas consumption
(n * (n + 1) * (2 * n + 1)) / 6,1,Extra gas consumption
(n * (n + 1)) / 2,1,Extra gas consumption
"(to,None,None,None,None) = ES.allShare(ShareID,ReplyID)",1,Extra gas consumption
++ currentYear,2,Extra gas consumption
++ i,4,Extra gas consumption
"AirDropCoin(address(owners[i]),balanceOf[owners[i]],_value,(balanceOf[owners[i]] / _value))",1,Extra gas consumption
ArrayType,18,Extra gas consumption
BASERATIO,136,Extra gas consumption
BobbySafeMath,4,Extra gas consumption
"ChangeBalance(msg.sender,store.balanceOf(msg.sender))",3,Extra gas consumption
ContractCreator = NewOwner,3,Extra gas consumption
"ContractFallbackCallFailed(from,to,value)",1,Extra gas consumption
"ContractFallbackCallFailed(msg.sender,to,value)",1,Extra gas consumption
END_TIME_COUNTDOWN,6,Extra gas consumption
"ERC20(_token[i]).transferFrom(_from[i],_to[i],_amount[i])",1,Extra gas consumption
"ERC20(coin).transfer(to,amount)",1,Extra gas consumption
"ERC20Interface(_tokenAddressSell).transferFrom(msg.sender,this,_amountTokenSell)",1,Extra gas consumption
ES,1,Extra gas consumption
ETHtoP3Dbymasternode,8,Extra gas consumption
ETHtoP3Dbymasternode[masternode] = 0,4,Extra gas consumption
EVERY_RELEASE_COUNT,3,Extra gas consumption
"EarningsWithdrawn(msg.sender,amount)",2,Extra gas consumption
EscrowState,2,Extra gas consumption
FACTOR,1,Extra gas consumption
FIRST_YEAR_TIMESTAMP,2,Extra gas consumption
FoMo3Dlong_,6,Extra gas consumption
"FundTransfer(msg.sender,amount,true)",8,Extra gas consumption
INT100,2,Extra gas consumption
ItemList,216,Extra gas consumption
Jackpot,4,Extra gas consumption
LogItemUpdate(id),9,Extra gas consumption
LotteryState,1,Extra gas consumption
MAX_RECIPIENTS,1,Extra gas consumption
MIN,1,Extra gas consumption
MINT_AMOUNT,4,Extra gas consumption
MIN_CONTRIBUTION,10,Extra gas consumption
Math,6,Extra gas consumption
MathLib,30,Extra gas consumption
NewOwner,3,Extra gas consumption
P3Dcontract_.buy.value(amt)(this),1,Extra gas consumption
SOURCE_AREA,6,Extra gas consumption
SPASM_,1,Extra gas consumption
SafeMath,445,Extra gas consumption
SafeMathLib,35,Extra gas consumption
Stage,8,Extra gas consumption
"TokenDrop(msg.sender,_recipients[i],_values[i])",3,Extra gas consumption
"Transfer(msg.sender,_to,_value)",2,Extra gas consumption
"Transfer(msg.sender,_to,_value,_data)",1,Extra gas consumption
"Transfer(msg.sender,to,value)",3,Extra gas consumption
"Transfer(reciever,balance * sellPrice)",2,Extra gas consumption
Tx,6,Extra gas consumption
UN_FREEZE_CYCLE,2,Extra gas consumption
"UUU.transfer(recipients[i],values[i] * 10 ** 18)",1,Extra gas consumption
"UnfreezeTokens(msg.sender,wallets[msg.sender].freezedAmount)",3,Extra gas consumption
VISABLE_ALL,2,Extra gas consumption
VISABLE_BUYED,2,Extra gas consumption
VISABLE_FINAL,2,Extra gas consumption
VISABLE_OWNER,2,Extra gas consumption
_ETHUSD,4,Extra gas consumption
_Ethbalances,3,Extra gas consumption
_account,12,Extra gas consumption
_addr,5,Extra gas consumption
_addr_appc,2,Extra gas consumption
_address,43,Extra gas consumption
_addresses,26,Extra gas consumption
_addrs,20,Extra gas consumption
_addrs[i] != 0x0 && _values[i] > 0,1,Extra gas consumption
_amount,80,Extra gas consumption
_amountTokenBuy,2,Extra gas consumption
_amountTokenSell,3,Extra gas consumption
_amounts,10,Extra gas consumption
_amttype,2,Extra gas consumption
_appstore,3,Extra gas consumption
_askingPrice,12,Extra gas consumption
_auctioneer,6,Extra gas consumption
_availablePaymentTime,2,Extra gas consumption
_balanceOf,9,Extra gas consumption
_bar = foo,2,Extra gas consumption
_beneficiary,34,Extra gas consumption
_betAmount,36,Extra gas consumption
_betNum,25,Extra gas consumption
_boardContract,13,Extra gas consumption
_bs,10,Extra gas consumption
_captainID,16,Extra gas consumption
_classId,15,Extra gas consumption
_commanderID,16,Extra gas consumption
_contractOwner,2,Extra gas consumption
_contractOwner = contractOwner,2,Extra gas consumption
_count,6,Extra gas consumption
_currentIndex,6,Extra gas consumption
_dAmount,3,Extra gas consumption
_data,2,Extra gas consumption
_decimals,2,Extra gas consumption
"_decreaseAllowance(from,msg.sender,value)",2,Extra gas consumption
_delta,4,Extra gas consumption
_dests,11,Extra gas consumption
_dev,3,Extra gas consumption
_direction,16,Extra gas consumption
_end,6,Extra gas consumption
_ended,9,Extra gas consumption
_endingPrice,16,Extra gas consumption
_eth,16,Extra gas consumption
_excavation,3,Extra gas consumption
_expItemClass,1,Extra gas consumption
_fee,3,Extra gas consumption
_first,5,Extra gas consumption
_foo = foo,2,Extra gas consumption
_freeSeeders,5,Extra gas consumption
_freeValue,6,Extra gas consumption
_freeze,28,Extra gas consumption
_freeze = freezedTokens[_beneficiary],8,Extra gas consumption
_freezeAmount,9,Extra gas consumption
_freezeMonth,10,Extra gas consumption
_from,355,Extra gas consumption
_gameID,3,Extra gas consumption
_hasNonNumber,3,Extra gas consumption
_hasNonNumber = true,2,Extra gas consumption
_hash,5,Extra gas consumption
_holder,26,Extra gas consumption
_housesContract,29,Extra gas consumption
_id,8,Extra gas consumption
_identityExists(ein),1,Extra gas consumption
_implementation,2,Extra gas consumption
_implementation = implementation(),2,Extra gas consumption
_index,38,Extra gas consumption
_investednum,17,Extra gas consumption
_investor,14,Extra gas consumption
_length,18,Extra gas consumption
_levelItemClass,1,Extra gas consumption
_locationInfo,18,Extra gas consumption
_locations,12,Extra gas consumption
_locker,18,Extra gas consumption
_locktype,8,Extra gas consumption
_max,1,Extra gas consumption
_maxGameResult,13,Extra gas consumption
_midGameResult,12,Extra gas consumption
_min,1,Extra gas consumption
_minGameResult,12,Extra gas consumption
_name,9,Extra gas consumption
_newAdmin,14,Extra gas consumption
_newCEO,4,Extra gas consumption
_newController,4,Extra gas consumption
_newGod,58,Extra gas consumption
_newOwner,132,Extra gas consumption
_newOwner != address(0),4,Extra gas consumption
_newPrice,2,Extra gas consumption
_newRoot,14,Extra gas consumption
_new_mint_address,3,Extra gas consumption
