idx,address,contract_name,compiler_version,total_nonempty_lines,contains_risk_keyword,input_file,original_source_dir,optimization_used,runs,license_type,proxy,implementation,etherscan_contract_name
1,0xF0bD3abc5444FbD3848d13474ab6dEa3a9052720,NAVOracle,v0.8.23+commit.f704f362,1285,True,recent_preprocessed_risk_only/contracts/0001_0xF0bD3abc5444FbD3848d13474ab6dEa3a9052720_NAVOracle.sol,recent_etherscan_300/sources/0xF0bD3abc5444FbD3848d13474ab6dEa3a9052720_NAVOracle,1,1,,0,,NAVOracle
2,0xc4aeeef3d61903a8cf9dbba2336f311c8147b0d6,AssetCustodian,v0.8.23+commit.f704f362,1744,True,recent_preprocessed_risk_only/contracts/0002_0xc4aeeef3d61903a8cf9dbba2336f311c8147b0d6_AssetCustodian.sol,recent_etherscan_300/sources/0xc4aeeef3d61903a8cf9dbba2336f311c8147b0d6_AssetCustodian,1,1,,0,,AssetCustodian
3,0xeba97664CA8C545D7b7B10331890d71D9C626073,USDC,v0.8.25+commit.b61c2a91,1252,True,recent_preprocessed_risk_only/contracts/0003_0xeba97664CA8C545D7b7B10331890d71D9C626073_USDC.sol,recent_etherscan_300/sources/0xeba97664CA8C545D7b7B10331890d71D9C626073_USDC,1,200,None,0,,USDC
4,0xd9854f0e9e1c98ec684becf7c044c4f58dd7e7bd,ShareToken,v0.8.23+commit.f704f362,1060,True,recent_preprocessed_risk_only/contracts/0004_0xd9854f0e9e1c98ec684becf7c044c4f58dd7e7bd_ShareToken.sol,recent_etherscan_300/sources/0xd9854f0e9e1c98ec684becf7c044c4f58dd7e7bd_ShareToken,1,1,,0,,ShareToken
5,0x4fd57ad6fF61FE7455772fB49647a8fa3aA2C33A,XMRP2P,v0.8.34+commit.80d5c536,931,True,recent_preprocessed_risk_only/contracts/0005_0x4fd57ad6fF61FE7455772fB49647a8fa3aA2C33A_XMRP2P.sol,recent_etherscan_300/sources/0x4fd57ad6fF61FE7455772fB49647a8fa3aA2C33A_XMRP2P,1,200,,0,,XMRP2P
6,0x7110AE45B7648EEce7fceA0d050f468437A5D306,SplitBridgeRouterV1_1,v0.8.30+commit.73712a01,704,True,recent_preprocessed_risk_only/contracts/0006_0x7110AE45B7648EEce7fceA0d050f468437A5D306_SplitBridgeRouterV1_1.sol,recent_etherscan_300/sources/0x7110AE45B7648EEce7fceA0d050f468437A5D306_SplitBridgeRouterV1_1,1,1000000,,0,,SplitBridgeRouterV1_1
7,0x22ac2b518e2d43044a743e264e605b4dc6f780ce,CoreVault,v0.8.23+commit.f704f362,2001,True,recent_preprocessed_risk_only/contracts/0007_0x22ac2b518e2d43044a743e264e605b4dc6f780ce_CoreVault.sol,recent_etherscan_300/sources/0x22ac2b518e2d43044a743e264e605b4dc6f780ce_CoreVault,1,1,,0,,CoreVault
8,0xBc4db5cA153cBcCf208A92db5ed8D2755749F5Ca,RebalanceManager,v0.8.23+commit.f704f362,1195,True,recent_preprocessed_risk_only/contracts/0008_0xBc4db5cA153cBcCf208A92db5ed8D2755749F5Ca_RebalanceManager.sol,recent_etherscan_300/sources/0xBc4db5cA153cBcCf208A92db5ed8D2755749F5Ca_RebalanceManager,1,1,,0,,RebalanceManager
9,0xFdc1b5A10f4da87b459dfc3bF1313b33a2F6bfA9,MaplePoolDelegateCover,v0.8.25+commit.b61c2a91,78,True,recent_preprocessed_risk_only/contracts/0009_0xFdc1b5A10f4da87b459dfc3bF1313b33a2F6bfA9_MaplePoolDelegateCover.sol,recent_etherscan_300/sources/0xFdc1b5A10f4da87b459dfc3bF1313b33a2F6bfA9_MaplePoolDelegateCover,1,200,BSL 1.1,0,,MaplePoolDelegateCover
10,0x2a841c66B408DdD0aBD92ccb25151ea70C932B91,PermissionedMulticallHandler,v0.8.30+commit.73712a01,1588,True,recent_preprocessed_risk_only/contracts/0010_0x2a841c66B408DdD0aBD92ccb25151ea70C932B91_PermissionedMulticallHandler.sol,recent_etherscan_300/sources/0x2a841c66B408DdD0aBD92ccb25151ea70C932B91_PermissionedMulticallHandler,1,300,,0,,PermissionedMulticallHandler
